invoice,user_uid,ticket_id,participant_name,participant_email,participant_phone,participant_nik,participant_province,participant_city,shirt_size,amount,status_racepack
INV-BOOK3-0061,111,1,Lalu Herry Pratama,failamir61@kukode.com,083148263597,0000000000061,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0062,111,1,komang bagus putra laksana,failamir62@kukode.com,083148263597,0000000000062,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0063,111,1,lalu ziyat galih akbar,failamir63@kukode.com,083148263597,0000000000063,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0064,111,1,putu arya sentosa,failamir64@kukode.com,083148263597,0000000000064,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0065,111,1,I Putu Adi Putra Semadi,failamir65@kukode.com,083148263597,0000000000065,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0066,111,1,Rahmatullah,failamir66@kukode.com,083148263597,0000000000066,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0067,111,1,Hambali,failamir67@kukode.com,083148263597,0000000000067,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0068,111,1,djoko muljanto,failamir68@kukode.com,083148263597,0000000000068,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0069,111,1,Agil Septian Hariadi,failamir69@kukode.com,083148263597,0000000000069,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0070,111,1,sahrul romi,failamir70@kukode.com,083148263597,0000000000070,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0071,111,1,Olam bin Abdul Gani,failamir71@kukode.com,083148263597,0000000000071,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0072,111,1,Iqbal Firdaus,failamir72@kukode.com,083148263597,0000000000072,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0073,111,1,Muhamad Taufik Irsad Irham,failamir73@kukode.com,083148263597,0000000000073,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0074,111,1,I Gede Siwantara,failamir74@kukode.com,083148263597,0000000000074,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0075,111,1,I Gede Ghana Yasa,failamir75@kukode.com,083148263597,0000000000075,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0076,111,1,Gede Pande Yuditya Permana,failamir76@kukode.com,083148263597,0000000000076,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0077,111,1,Rian Samudra Aldy,failamir77@kukode.com,083148263597,0000000000077,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0078,111,1,Galuh rahma aulia,failamir78@kukode.com,083148263597,0000000000078,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0079,111,1,Nabil ari barry,failamir79@kukode.com,083148263597,0000000000079,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0080,111,1,Gede Jorghi Saputra,failamir80@kukode.com,083148263597,0000000000080,Nusa Tenggara Barat,Kota Mataram,L,0,belum
