invoice,user_uid,ticket_id,participant_name,participant_email,participant_phone,participant_nik,participant_province,participant_city,shirt_size,amount,status_racepack
INV-BOOK3-0081,111,1,Krisnadhi Winangun,failamir81@kukode.com,083148263597,0000000000081,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0082,111,1,I Gede Wiarta,failamir82@kukode.com,083148263597,0000000000082,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0083,111,1,I Komang Aditya Yudistira,failamir83@kukode.com,083148263597,0000000000083,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0084,111,1,M. HARI SUJUD KADARISWAN,failamir84@kukode.com,083148263597,0000000000084,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0085,111,1,Muhammad Denny Arianto,failamir85@kukode.com,083148263597,0000000000085,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0086,111,1,Ujang Wahyudi Hamid,failamir86@kukode.com,083148263597,0000000000086,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0087,111,1,LALU AHMAD JANNATUL ADNAN,failamir87@kukode.com,083148263597,0000000000087,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0088,111,1,Baiq Ria Safarini,failamir88@kukode.com,083148263597,0000000000088,Nusa Tenggara Barat,Kota Mataram,S,0,belum
INV-BOOK3-0089,111,1,A'anggina Pebrianti Putri,failamir89@kukode.com,083148263597,0000000000089,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0090,111,1,Ahmad Muballigin,failamir90@kukode.com,083148263597,0000000000090,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0091,111,1,Lalu Muhammad Muzakkir,failamir91@kukode.com,083148263597,0000000000091,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0092,111,1,MOH FARIS FARHAN,failamir92@kukode.com,083148263597,0000000000092,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0093,111,1,I Putu Arya Pratama,failamir93@kukode.com,083148263597,0000000000093,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0094,111,1,Haenah,failamir94@kukode.com,083148263597,0000000000094,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0095,111,1,Pityan Mupid,failamir95@kukode.com,083148263597,0000000000095,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0096,111,1,Prayogi Anugrah Arta eka saputra,failamir96@kukode.com,083148263597,0000000000096,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0097,111,1,Muhamad Rizki Nul Asry,failamir97@kukode.com,083148263597,0000000000097,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0098,111,1,Lalu Wahyu Dharma Trasna,failamir98@kukode.com,083148263597,0000000000098,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0099,111,1,Dhoni Tegar Kurniawan,failamir99@kukode.com,083148263597,0000000000099,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0100,111,1,Muhlis,failamir100@kukode.com,083148263597,0000000000100,Nusa Tenggara Barat,Kota Mataram,L,0,belum
