invoice,user_uid,ticket_id,participant_name,participant_email,participant_phone,participant_nik,participant_province,participant_city,shirt_size,amount,status_racepack
INV-BOOK3-0021,111,1,Riris Rofi Majesti,failamir21@kukode.com,083148263597,0000000000021,Nusa Tenggara Barat,Kota Mataram,S,0,belum
INV-BOOK3-0022,111,1,Bella Nindya,failamir22@kukode.com,083148263597,0000000000022,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0023,111,1,Nanang Fahmi Muhtar,failamir23@kukode.com,083148263597,0000000000023,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0024,111,1,Wisnu Mukti,failamir24@kukode.com,083148263597,0000000000024,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0025,111,1,I gusti bagus satya,failamir25@kukode.com,083148263597,0000000000025,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0026,111,1,Lanjar Juliantoro,failamir26@kukode.com,083148263597,0000000000026,Nusa Tenggara Barat,Kota Mataram,M,0,belum
INV-BOOK3-0027,111,1,Hery Firmansyah,failamir27@kukode.com,083148263597,0000000000027,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0028,111,1,Satria Juniawan,failamir28@kukode.com,083148263597,0000000000028,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0029,111,1,SAPRI NURYADIN,failamir29@kukode.com,083148263597,0000000000029,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0030,111,1,Anak Agung Gde Krisna,failamir30@kukode.com,083148263597,0000000000030,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0031,111,1,Amam Saifulhaq,failamir31@kukode.com,083148263597,0000000000031,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0032,111,1,I Nyoman Mudana,failamir32@kukode.com,083148263597,0000000000032,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0033,111,1,Muhtarrudin,failamir33@kukode.com,083148263597,0000000000033,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0034,111,1,Ramdiyansyah Lisnuvirganta,failamir34@kukode.com,083148263597,0000000000034,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0035,111,1,Agusto Keny Jia,failamir35@kukode.com,083148263597,0000000000035,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0036,111,1,Fikriyadi Nurzal,failamir36@kukode.com,083148263597,0000000000036,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0037,111,1,Edward Awang Maha Putra,failamir37@kukode.com,083148263597,0000000000037,Nusa Tenggara Barat,Kota Mataram,XL,0,belum
INV-BOOK3-0038,111,1,KHAIRUL FAHMI,failamir38@kukode.com,083148263597,0000000000038,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0039,111,1,M. FADHILAH LUTFI,failamir39@kukode.com,083148263597,0000000000039,Nusa Tenggara Barat,Kota Mataram,L,0,belum
INV-BOOK3-0040,111,1,M. FAOZAN AZIM,failamir40@kukode.com,083148263597,0000000000040,Nusa Tenggara Barat,Kota Mataram,L,0,belum
